"batch_id","slug","content_type","age_group","domain","clinical_status","blocked","blocker_reasons","advisories","reference_count","organisations","dimension_key","dimension_en","dimension_mm","blocking","result","reviewer_name","reviewer_qualification","review_date","comment"
"batch-0-12m","ms_birth_2m_gross_motor_1","milestone","Birth–2 months","Gross Motor","clinical_review","no","","","6","AAP CDC JOURNAL TEXTBOOK WHO","factual_accuracy","Factual accuracy","အချက်အလက် မှန်ကန်မှု","blocking","","","","",""
"batch-0-12m","ms_birth_2m_gross_motor_1","milestone","Birth–2 months","Gross Motor","clinical_review","no","","","6","AAP CDC JOURNAL TEXTBOOK WHO","age_appropriateness","Age appropriateness","အသက်အရွယ်နှင့် သင့်တော်မှု","blocking","","","","",""
"batch-0-12m","ms_birth_2m_gross_motor_1","milestone","Birth–2 months","Gross Motor","clinical_review","no","","","6","AAP CDC JOURNAL TEXTBOOK WHO","safety","Safety","ဘေးကင်းလုံခြုံရေး","blocking","","","","",""
"batch-0-12m","ms_birth_2m_gross_motor_1","milestone","Birth–2 months","Gross Motor","clinical_review","no","","","6","AAP CDC JOURNAL TEXTBOOK WHO","myanmar_wording","Myanmar wording","မြန်မာစာ သုံးနှုန်းမှု","blocking","","","","",""
"batch-0-12m","ms_birth_2m_gross_motor_1","milestone","Birth–2 months","Gross Motor","clinical_review","no","","","6","AAP CDC JOURNAL TEXTBOOK WHO","non_diagnostic_language","Non-diagnostic language","ရောဂါအမည်တပ်ခြင်း မပါရှိမှု","blocking","","","","",""
"batch-0-12m","ms_birth_2m_gross_motor_1","milestone","Birth–2 months","Gross Motor","clinical_review","no","","","6","AAP CDC JOURNAL TEXTBOOK WHO","reference_relevance","Reference relevance","ကိုးကားချက် သက်ဆိုင်မှု","blocking","","","","",""
"batch-0-12m","ms_birth_2m_gross_motor_1","milestone","Birth–2 months","Gross Motor","clinical_review","no","","","6","AAP CDC JOURNAL TEXTBOOK WHO","outdated_evidence","Outdated evidence","ဟောင်းနွမ်းနေသော အထောက်အထား","advisory","","","","",""
"batch-0-12m","ms_birth_2m_gross_motor_1","milestone","Birth–2 months","Gross Motor","clinical_review","no","","","6","AAP CDC JOURNAL TEXTBOOK WHO","referral_guidance","Referral guidance","ဆရာဝန်ထံ ညွှန်းပို့ရန် လမ်းညွှန်","blocking","","","","",""
"batch-0-12m","ms_birth_2m_social_1","milestone","Birth–2 months","Social","clinical_review","no","","1 linked reference(s) old enough to look for a newer edition: nice-ph40-social-emotional-2012","5","AAP CDC NICE TEXTBOOK","factual_accuracy","Factual accuracy","အချက်အလက် မှန်ကန်မှု","blocking","","","","",""
"batch-0-12m","ms_birth_2m_social_1","milestone","Birth–2 months","Social","clinical_review","no","","1 linked reference(s) old enough to look for a newer edition: nice-ph40-social-emotional-2012","5","AAP CDC NICE TEXTBOOK","age_appropriateness","Age appropriateness","အသက်အရွယ်နှင့် သင့်တော်မှု","blocking","","","","",""
