"content_id","age_band","content_type","english_review_status","native_myanmar_review_status","clinical_review_status","evidence_status","safety_review_status","reviewer","review_date","notes","blocking_issue","publication_eligibility"
"act_name_and_point","13–18 months","activity","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"gd_13_18m_fine_motor","13–18 months","guide","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"gd_13_18m_self_help","13–18 months","guide","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_13_18m_gross_motor_1","13–18 months","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_13_18m_language_1","13–18 months","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_13_18m_self_help_1","13–18 months","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_13_18m_speech_1","13–18 months","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"st_ba_ba_sounds","13–18 months","story","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"act_copy_everyday_actions","19–24 months","activity","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"gd_19_24m_speech","19–24 months","guide","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_19_24m_cognitive_1","19–24 months","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_19_24m_emotional_1","19–24 months","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_19_24m_language_1","19–24 months","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_19_24m_play_1","19–24 months","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"act_feeling_faces","2.5 years","activity","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"gd_2_5y_emotional","2.5 years","guide","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
"ms_2_5y_emotional_1","2.5 years","milestone","not_reviewed","not_reviewed","not_approved","pending_verification","not_reviewed","","","Technical draft only; no reviewer decision recorded.","Native Myanmar, clinical, evidence, and safety reviews pending.","not_eligible"
